params,acc
"{'extract_method': 'orb', 'mapping_method': 'minibatch_kmeans', 'mapping_batch_size': 512, 'mapping_num_features': 2048, 'mapping_dropout': False, 'mapping_dropout_rate': 0.3, 'predict_method': 'log-reg'}",0.4182692307692308
"{'extract_method': 'sift', 'mapping_method': 'minibatch_kmeans', 'mapping_batch_size': 512, 'mapping_num_features': 1024, 'mapping_dropout': True, 'mapping_dropout_rate': 0.3, 'predict_method': 'log-reg'}",0.6875
"{'extract_method': 'orb', 'mapping_method': 'minibatch_kmeans', 'mapping_batch_size': 512, 'mapping_num_features': 1024, 'mapping_dropout': True, 'mapping_dropout_rate': 0.3, 'predict_method': 'log-reg'}",0.3076923076923077
"{'extract_method': 'sift', 'mapping_method': 'minibatch_kmeans', 'mapping_batch_size': 512, 'mapping_num_features': 2048, 'mapping_dropout': True, 'mapping_dropout_rate': 0.3, 'predict_method': 'log-reg'}",0.6850961538461539
"{'extract_method': 'orb', 'mapping_method': 'minibatch_kmeans', 'mapping_batch_size': 512, 'mapping_num_features': 2048, 'mapping_dropout': True, 'mapping_dropout_rate': 0.3, 'predict_method': 'log-reg'}",0.32211538461538464
"{'extract_method': 'sift', 'mapping_method': 'minibatch_kmeans', 'mapping_batch_size': 512, 'mapping_num_features': 1024, 'mapping_dropout': False, 'mapping_dropout_rate': 0.4, 'predict_method': 'log-reg'}",0.65625
"{'extract_method': 'orb', 'mapping_method': 'minibatch_kmeans', 'mapping_batch_size': 512, 'mapping_num_features': 1024, 'mapping_dropout': False, 'mapping_dropout_rate': 0.4, 'predict_method': 'log-reg'}",0.34375
"{'extract_method': 'sift', 'mapping_method': 'minibatch_kmeans', 'mapping_batch_size': 512, 'mapping_num_features': 2048, 'mapping_dropout': False, 'mapping_dropout_rate': 0.4, 'predict_method': 'log-reg'}",0.6995192307692307
"{'extract_method': 'orb', 'mapping_method': 'minibatch_kmeans', 'mapping_batch_size': 512, 'mapping_num_features': 2048, 'mapping_dropout': False, 'mapping_dropout_rate': 0.4, 'predict_method': 'log-reg'}",0.3605769230769231
"{'extract_method': 'sift', 'mapping_method': 'minibatch_kmeans', 'mapping_batch_size': 512, 'mapping_num_features': 1024, 'mapping_dropout': True, 'mapping_dropout_rate': 0.4, 'predict_method': 'log-reg'}",0.6538461538461539
"{'extract_method': 'orb', 'mapping_method': 'minibatch_kmeans', 'mapping_batch_size': 512, 'mapping_num_features': 1024, 'mapping_dropout': True, 'mapping_dropout_rate': 0.4, 'predict_method': 'log-reg'}",0.33413461538461536
"{'extract_method': 'sift', 'mapping_method': 'minibatch_kmeans', 'mapping_batch_size': 512, 'mapping_num_features': 2048, 'mapping_dropout': True, 'mapping_dropout_rate': 0.4, 'predict_method': 'log-reg'}",0.6875
"{'extract_method': 'orb', 'mapping_method': 'minibatch_kmeans', 'mapping_batch_size': 512, 'mapping_num_features': 2048, 'mapping_dropout': True, 'mapping_dropout_rate': 0.4, 'predict_method': 'log-reg'}",0.3918269230769231
"{'extract_method': 'sift', 'mapping_method': 'minibatch_kmeans', 'mapping_batch_size': 512, 'mapping_num_features': 1024, 'mapping_dropout': False, 'mapping_dropout_rate': 0.1, 'predict_method': 'svm'}",0.6057692307692307
"{'extract_method': 'orb', 'mapping_method': 'minibatch_kmeans', 'mapping_batch_size': 512, 'mapping_num_features': 1024, 'mapping_dropout': False, 'mapping_dropout_rate': 0.1, 'predict_method': 'svm'}",0.28125
"{'extract_method': 'sift', 'mapping_method': 'minibatch_kmeans', 'mapping_batch_size': 512, 'mapping_num_features': 2048, 'mapping_dropout': False, 'mapping_dropout_rate': 0.1, 'predict_method': 'svm'}",0.6009615384615384
"{'extract_method': 'orb', 'mapping_method': 'minibatch_kmeans', 'mapping_batch_size': 512, 'mapping_num_features': 2048, 'mapping_dropout': False, 'mapping_dropout_rate': 0.1, 'predict_method': 'svm'}",0.28846153846153844
"{'extract_method': 'sift', 'mapping_method': 'minibatch_kmeans', 'mapping_batch_size': 512, 'mapping_num_features': 1024, 'mapping_dropout': True, 'mapping_dropout_rate': 0.1, 'predict_method': 'svm'}",0.6322115384615384
"{'extract_method': 'orb', 'mapping_method': 'minibatch_kmeans', 'mapping_batch_size': 512, 'mapping_num_features': 1024, 'mapping_dropout': True, 'mapping_dropout_rate': 0.1, 'predict_method': 'svm'}",0.2980769230769231
"{'extract_method': 'sift', 'mapping_method': 'minibatch_kmeans', 'mapping_batch_size': 512, 'mapping_num_features': 2048, 'mapping_dropout': True, 'mapping_dropout_rate': 0.1, 'predict_method': 'svm'}",0.6057692307692307
"{'extract_method': 'orb', 'mapping_method': 'minibatch_kmeans', 'mapping_batch_size': 512, 'mapping_num_features': 2048, 'mapping_dropout': True, 'mapping_dropout_rate': 0.1, 'predict_method': 'svm'}",0.27884615384615385
"{'extract_method': 'sift', 'mapping_method': 'minibatch_kmeans', 'mapping_batch_size': 512, 'mapping_num_features': 1024, 'mapping_dropout': False, 'mapping_dropout_rate': 0.2, 'predict_method': 'svm'}",0.6394230769230769
"{'extract_method': 'orb', 'mapping_method': 'minibatch_kmeans', 'mapping_batch_size': 512, 'mapping_num_features': 1024, 'mapping_dropout': False, 'mapping_dropout_rate': 0.2, 'predict_method': 'svm'}",0.29086538461538464
